model,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,fit_status
MobileNetV2 Transfer Learning + Fine-Tuning,0.0033089015632867813,0.9992411136627197,0.020111585035920143,0.9939289093017578,0.02829526923596859,0.993934154510498,GOOD FIT
CNN From Scratch,0.1329868882894516,0.9584778547286987,0.17453238368034363,0.9375541806221008,0.1880534589290619,0.9419410824775696,GOOD FIT
